ID.	Age	Sex	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	h1	h2	h3	h4	h5	h6	h7	h8	h9	h10	h11	h12	h13	h14	h15	h16	h17	h18	h19	h20	h21	h22	h23	h24	h25	h26	h27	h28	h29	h30	h31	h32	h33	h34	h35	h36	h37	h38	h39	h40	h41	h42	eA1	eA2	eA3	eA4	eBafallx	eBafallhrs	eBaspringx	eBaspringhrs	eBbfallx	eBbfallhrs	eBbspringx	eBbspringhrs	eBcfallx	eBcfallhrs	eBcspringx	eBcsrpinghrs	eqF
113	19	1	4	4	5	3	5	5	5	5	4	3	5	5	4	5	3	5	5	4	5	5	3	4	3	5	5	5	5	5	5	5	4	5	5	3	5	5	4	4	4	5	5	5	3	5	5	3	1	5	1	1	5	1	5	3	5	1	5	4	5	5	2	5	1	3	2	5	3	1	5	3	3	4	4	2	3	1	5	2	5	2	4	4	1	1	1	1	5	10	4	8	1	1	2	3	2	2	3	3	43.2
114	19	1	4	4	5	3	5	3	5	5	5	3	5	5	4	4	3	5	5	3	5	4	4	3	3	4	3	5	5	5	4	5	5	5	5	3	5	5	4	4	3	5	5	5	4	5	4	3	2	5	1	4	5	1	5	5	5	1	5	4	5	5	5	5	1	5	5	5	5	1	5	3	5	5	3	5	2	1	5	5	5	5	3	5	1	1	1	1	3	3	5	5	3	4	6	7	5	5	10	10	37.6
115	28	1	2	3	3	3	5	2	4	4	3	1	3	2	4	2	3	4	4	4	4	4	2	4	2	2	4	2	5	5	5	4	3	4	4	2	4	4	5	3	3	4	5	5	4	5	4	2	1	4	1	3	3	1	5	5	5	1	5	4	5	5	5	5	1	5	5	5	5	1	5	3	5	5	2	5	1	1	5	5	2	5	2	5	1	1	1	1	5	9.5	5	9.5	0	0	2	4	0	0	1	3	30.8
116	22	1	4	3	4	3	5	5	5	4	4	5	5	5	3	3	5	4	4	2	5	3	5	2	4	4	4	3	4	4	4	4	4	4	4	4	5	5	4	3	3	5	5	5	5	4	3	2	1	3	1	3	3	2	5	5	5	1	4	5	4	5	3	4	1	4	2	5	3	1	4	4	5	5	2	3	1	2	5	4	4	5	2	5	1	1	1	1	5	9	6	10	5	7	6	9	5	10	6	12	35
117	20	2	4	4	3	3	2	3	4	4	4	4	3	3	3	3	3	4	4	3	3	3	4	3	3	3	3	3	4	4	4	3	3	2	4	4	3	4	4	3	3	4	4	4	4	5	4	3	2	3	2	3	4	3	4	4	4	2	4	3	3	4	4	4	2	3	3	4	4	2	4	4	4	2	3	4	2	2	3	4	4	4	3	4	1	1	1	1	5	11	6	13	4	10	4	10	4	10	4	10	33.6
118	19	1	4	3	3	3	4	4	4	4	3	2	4	4	4	5	3	4	4	3	4	4	2	3	4	3	4	4	4	5	4	5	4	4	4	2	4	4	3	4	2	4	4	4	4	4	5	4	2	5	2	3	4	3	4	4	4	2	4	4	5	4	4	4	2	4	4	5	4	2	4	4	4	4	3	4	3	2	4	4	4	4	3	4	1	1	1	1	6	7	3	5	5	2.5	5	2.5	3	2	3	2	33.8
119	19	1	2	4	4	2	5	4	5	4	5	5	5	5	3	4	5	5	4	4	4	5	3	2	2	2	3	5	5	5	2	5	5	5	5	5	5	5	4	4	4	5	5	5	4	4	4	2	2	4	1	3	4	3	5	4	4	2	5	3	4	5	4	5	3	5	4	5	4	2	5	3	5	4	3	4	2	2	5	4	5	4	3	5	1	1	1	1	2	4	5.5	13	2	4	4.5	10	4.5	8	7	15	36
120	19	2	2	3	3	3	4	4	4	5	3	1	5	2	4	4	3	5	5	4	5	5	2	2	3	3	4	5	5	5	5	5	2	4	5	1	5	5	2	4	2	4	5	5	4	5	5	1	1	5	2	3	4	1	5	5	5	3	5	5	5	4	5	5	2	5	5	3	5	4	5	3	5	2	3	5	4	1	3	5	4	5	3	5	1	1	1	1	4	2	5	24	3	15	3	15	1	2	1	2	31.6444444444444
121	19	1	4	3	3	2	5	5	5	4	5	4	4	4	4	4	3	3	4	3	4	4	3	2	4	5	NA	3	4	4	3	5	3	4	4	3	4	4	3	3	2	5	4	4	4	4	5	2	2	4	2	3	4	2	5	5	4	1	4	3	4	5	4	3	1	5	4	5	4	1	5	4	5	5	2	4	2	1	5	5	5	4	2	5	1	1	1	1	3	3	5	5	4	6	4	6	1	5	5	10	34.2
122	19	2	3	2	4	1	3	5	4	5	5	1	4	3	4	3	2	3	4	4	4	4	3	4	4	3	5	3	5	3	3	5	5	4	5	2	4	5	3	2	5	3	4	5	3	4	5	3	2	4	3	3	4	2	4	5	4	4	5	4	4	5	4	4	5	5	2	4	5	3	4	2	4	3	4	1	4	1	4	2	5	5	1	2	1	1	1	1	4	12	3	10	3	4	5	10	5	10	4	10	29.2
123	20	1	4	3	3	3	4	3	5	4	4	3	3	3	4	5	3	4	5	4	4	4	3	3	4	4	4	4	4	4	4	4	3	4	3	3	4	4	4	4	4	4	5	3	5	3	4	3	2	4	2	3	4	2	5	4	3	3	4	3	3	4	4	5	3	4	3	5	4	3	4	2	4	4	3	3	3	3	4	3	4	3	4	2	1	1	1	1	4	4	2	2	2	2	4	4	1	1	4	4	35
124	21	1	5	4	4	3	5	4	4	5	4	3	4	4	4	5	3	4	4	4	4	4	3	4	3	4	4	4	4	4	4	5	4	4	4	2	4	4	4	4	4	4	5	5	5	5	4	2	4	5	2	3	4	1	5	5	5	2	5	3	5	5	5	5	3	5	5	5	5	2	5	4	5	5	4	5	2	2	5	5	5	5	4	5	1	1	1	1	4	5	3	3	4	2	6	3	7	3.5	7	4	36.8
125	20	2	4	4	3	3	4	2	4	4	5	3	3	4	3	4	3	4	4	3	4	3	3	1	1	3	3	5	5	5	3	5	5	4	4	2	4	4	4	3	2	4	5	5	5	5	4	3	2	4	2	5	4	1	4	2	4	3	5	4	4	4	4	4	5	4	4	4	5	2	4	5	4	4	4	4	4	2	3	4	4	4	4	4	2	1	1	1	5	12	4	10	5	12	5	10	5	5	6	10	34
126	22	1	3	4	2	3	5	4	5	5	5	5	4	4	2	5	3	5	3	4	4	4	1	3	2	2	4	5	5	5	5	5	4	4	5	4	4	4	4	4	2	5	5	5	5	2	5	4	3	3	1	2	5	1	5	3	4	1	5	5	3	5	4	3	1	5	1	5	3	1	5	3	3	4	1	3	1	2	5	4	5	4	1	5	1	1	1	1	6	6	7	7	4	4	4	4	5	5	5	5	32.2
127	21	2	5	3	3	5	5	4	4	5	3	2	5	4	4	2	3	4	4	3	5	5	3	4	3	3	4	2	5	5	4	5	5	4	5	2	4	5	4	4	3	5	5	5	5	5	4	2	1	3	2	3	5	2	5	5	5	1	5	4	4	5	5	5	3	4	5	5	5	2	5	5	5	5	3	5	3	2	5	5	5	5	3	5	1	1	1	1	4	4	5	10	3	2	3	2	NA	NA	5	15	37.4
128	22	1	3	4	4	2	4	4	4	4	4	3	5	5	4	5	3	4	4	3	4	4	2	2	2	3	4	5	5	5	3	5	5	NA	4	3	5	4	2	3	3	5	4	4	4	4	5	1	3	5	3	3	1	1	5	4	4	3	4	4	4	3	4	4	1	5	1	4	4	1	5	3	4	4	NA	1	1	4	4	4	1	2	1	5	1	1	1	1	3	1.5	4	2.5	2	1.5	1	0.5	0	0	0	0	33
129	19	2	5	4	3	3	4	3	4	4	4	3	4	4	3	3	3	4	4	4	4	4	4	3	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	3	4	4	3	4	2	4	3	1	2	2	3	4	4	4	4	3	2	5	3	4	4	3	4	3	4	4	4	2	4	4	2	4	4	3	3	2	2	4	2	4	4	4	2	1	1	1	1	3	4.5	3	4.5	3	4.5	3	4.5	4	20	4	20	34.2
130	20	1	2	4	4	3	4	4	3	4	4	1	3	4	5	3	2	5	3	4	3	3	3	3	2	2	3	3	5	4	3	5	4	5	4	2	5	4	4	2	2	5	4	4	3	5	4	3	2	4	2	2	3	3	5	4	5	1	5	3	5	5	4	5	2	3	4	4	4	1	3	2	5	5	4	3	3	2	4	5	4	2	3	5	1	1	1	1	3	1.5	3	1.5	4	3.5	5.5	6	4.5	3.5	4.5	4	31.2
131	20	1	4	1	4	3	2	3	5	5	4	5	2	5	4	5	5	3	5	3	3	4	4	2	2	3	4	5	5	5	5	5	5	5	2	4	5	4	5	4	3	4	5	1	3	4	5	2	1	4	1	3	4	1	5	4	4	1	5	5	4	5	4	4	1	5	4	5	4	1	4	4	5	4	NA	4	1	1	5	5	5	5	1	5	1	1	1	1	4	6.5	3	4	2	3.5	2	2.5	1	1	1	1	38
132	20	1	4	4	4	3	5	5	4	4	3	3	5	5	4	4	3	3	3	3	4	4	5	3	3	3	4	5	5	4	5	5	5	5	4	3	5	5	4	5	3	5	5	5	5	5	4	1	3	3	1	3	4	2	5	4	4	2	5	4	5	5	5	5	2	4	3	5	5	2	4	2	5	5	1	3	2	2	4	2	4	2	1	3	1	1	1	1	0	0	1	0.5	4	5	4	5	0	0	1	1	35.4
133	20	2	4	2	3	2	4	2	5	4	5	4	3	4	3	4	2	4	4	4	5	4	3	2	4	3	4	4	4	5	2	5	5	2	4	5	5	5	2	3	2	5	5	5	4	5	5	3	1	4	2	2	5	1	4	4	5	2	5	4	5	5	4	5	3	4	5	5	5	3	4	4	5	5	1	5	4	1	5	4	4	5	4	5	1	1	1	1	4	5	4	5	3	4	7	40	3	4	5	10	34.2
134	23	1	4	5	4	3	5	4	4	5	3	2	2	3	3	5	2	3	5	5	4	4	2	4	3	3	5	5	4	5	3	3	3	4	4	2	4	4	3	2	4	3	5	5	5	5	5	4	1	1	1	5	4	1	5	5	5	1	5	5	5	5	5	5	1	5	5	5	5	2	4	5	4	4	2	5	2	3	5	4	3	3	2	4	1	1	1	1	3	3	5	6	3	1.5	4	4	7	3	7	3	32.8
135	20	1	4	3	2	4	5	4	4	5	5	3	4	2	2	4	3	4	5	4	4	4	4	3	2	3	5	4	4	4	4	4	4	2	4	3	4	4	5	4	3	5	5	4	4	5	4	4	3	5	2	3	3	4	5	5	5	3	5	3	5	5	5	5	4	4	5	4	5	4	4	4	5	5	4	5	4	3	4	4	3	3	4	4	1	1	1	1	3	2	1	1	1	1	3.5	2	0	0	1.5	1.5	33.4
136	20	1	4	2	4	2	5	2	5	5	4	2	5	4	5	4	1	5	4	4	5	4	3	2	2	3	5	3	4	4	4	5	4	4	5	3	4	4	4	4	4	5	5	5	5	5	5	4	2	3	2	2	4	3	5	5	5	3	4	4	5	5	5	5	2	4	5	4	5	2	4	4	5	4	4	4	4	2	4	5	4	5	4	1	1	1	1	1	2.5	3.5	4.5	8	5.5	8	6	8	7	16	7	16	36.2
137	21	1	2	4	5	2	5	5	4	5	5	4	5	5	4	5	3	5	4	4	5	4	5	3	4	3	4	5	5	5	5	5	4	5	4	4	5	4	4	5	4	5	5	4	5	4	5	2	1	4	1	5	3	1	5	1	1	1	4	4	1	5	1	5	1	3	4	5	1	1	4	2	4	1	2	3	2	1	5	NA	4	4	2	4	1	1	1	1	3.5	4	4	4	4	4	4	4	6	6	6	6	37.8
138	21	1	3	3	2	3	4	3	4	4	5	4	3	5	4	4	4	5	4	3	4	4	2	3	4	4	4	5	5	5	5	4	4	4	4	4	4	5	4	4	2	4	5	5	5	4	5	1	1	4	1	3	4	1	5	4	5	1	5	3	5	5	3	5	1	4	3	5	5	1	4	3	5	5	1	3	2	1	5	4	5	5	1	5	1	1	1	1	3	2	4	5	5	5	5	5	1	1	1	1	38.2
139	19	1	4	3	1	1	5	3	4	4	5	5	5	5	3	4	4	5	4	4	4	4	3	3	4	5	4	4	5	4	5	5	5	2	4	5	5	4	5	5	3	5	5	5	5	5	5	2	1	4	1	3	5	2	5	5	5	1	5	4	1	5	3	4	1	4	3	5	5	1	5	3	5	4	3	3	2	2	5	3	4	3	2	5	1	1	1	1	1	1	2	3	4	12	4	12	3	4	4	6	37.0222222222222
140	20	1	5	4	2	3	5	5	4	5	4	3	5	5	3	4	3	2	4	4	5	4	5	4	2	4	5	4	4	4	4	5	4	2	5	3	4	5	4	5	5	4	5	4	5	4	4	2	1	3	1	3	4	1	5	3	4	1	5	4	4	5	4	3	1	4	3	5	3	1	5	3	5	4	4	4	3	1	4	3	5	4	4	5	1	1	1	1	5	3	7	7	5	5	7	7	5	5	7	14	38.4
141	24	1	4	3	4	2	5	3	4	4	5	4	3	5	4	3	5	5	4	3	4	4	3	4	4	4	4	5	5	5	5	5	5	5	4	4	5	5	4	3	3	5	4	4	4	5	5	1	1	3	1	4	3	1	5	4	4	1	5	3	4	5	3	5	1	3	3	4	4	1	3	4	4	4	1	4	1	2	5	5	3	4	1	5	1	1	1	1	3	4.5	5	7.5	0	0	0	0	0	0	0	0	35.4
142	19	1	2	3	1	1	4	2	3	3	3	3	4	3	1	4	4	2	4	4	3	2	2	4	3	2	4	4	3	4	4	4	4	2	4	3	4	5	5	2	3	4	5	4	4	5	3	3	4	5	1	4	2	1	5	5	5	2	5	4	5	5	4	5	2	4	3	4	5	2	4	2	5	4	2	3	2	1	5	4	2	3	2	4	1	1	1	1	3.5	1	4.5	1.5	1.5	0.5	1.5	0.5	0	0	0	0	25.6
143	21	1	3	5	5	5	5	4	4	5	4	4	5	3	4	5	1	5	5	3	5	5	3	3	1	3	5	5	5	NA	3	5	2	5	5	3	5	4	4	5	5	5	5	5	4	3	4	2	2	5	2	3	4	1	5	5	5	2	5	3	3	5	5	5	1	5	5	5	5	1	5	2	5	5	2	3	3	1	4	3	5	3	4	3	1	1	1	1	2	2	3	3.5	3	3.5	3	5	1	1	2	2	35.6
144	23	1	4	3	5	3	4	4	5	4	4	3	4	4	4	4	3	4	4	3	5	5	2	3	3	3	3	4	5	4	3	4	4	5	4	3	4	4	4	4	2	4	5	3	4	3	4	2	3	4	2	2	3	2	5	3	3	2	5	3	3	5	4	4	1	4	3	5	3	2	4	2	5	4	3	3	3	3	4	2	3	2	2	3	1	1	1	1	2	2	3	3	4	4	5	5	6	5	6	6	33.8
145	20	1	3	3	1	2	5	2	3	4	5	3	4	4	2	3	4	5	3	2	5	3	1	3	2	4	3	3	4	4	4	4	4	2	5	2	3	5	1	1	3	4	4	4	3	3	2	2	2	2	2	3	4	2	3	3	3	3	4	2	3	4	3	4	4	3	3	4	3	2	4	3	4	3	3	3	4	2	4	3	4	3	2	3	2	2	1	1	0	0	0	0	0	0	3	9	5	2.5	5	2.5	30
146	21	1	3	4	3	4	5	4	4	4	4	3	5	4	3	4	3	4	4	5	5	4	3	3	3	4	4	5	5	5	3	5	4	3	5	2	4	4	4	3	3	5	5	3	5	4	5	2	1	3	1	3	2	4	5	3	4	2	5	4	4	4	4	2	2	4	3	3	4	1	5	3	2	4	2	4	2	1	4	3	4	3	2	4	1	1	1	1	4	8	5	10	2	4	5	5	3	3	4	5	32.2666666666667
147	19	1	2	2	4	4	5	5	5	5	5	4	5	5	3	5	5	5	4	3	5	5	1	4	4	5	5	5	NA	4	5	5	5	5	5	4	4	5	4	5	3	5	5	5	4	4	5	2	2	5	1	3	3	2	5	4	4	2	5	4	4	4	4	5	2	4	3	4	3	2	4	2	3	4	2	4	2	2	4	2	4	2	4	4	1	1	1	1	3	2	5	6	10	8	15	11	10	8	15	12	38.4
148	19	2	4	3	1	1	5	4	5	4	5	5	5	5	2	3	NA	4	3	4	4	5	2	4	3	3	3	2	5	5	5	5	3	1	3	5	4	4	4	5	3	4	5	5	5	5	5	1	1	4	1	5	4	1	5	1	1	1	5	5	2	5	3	4	1	5	1	5	1	1	5	3	5	2	1	5	5	1	5	5	5	1	1	5	1	1	1	1	3.5	5	3	4	5	10	4	2	1.5	1	2	1	34
149	19	2	4	4	4	3	5	5	3	4	3	4	4	5	4	2	2	4	3	4	4	4	2	4	4	3	3	4	5	5	4	5	4	5	4	4	4	4	4	5	3	5	5	1	4	1	5	3	1	4	1	1	4	2	5	4	1	1	5	4	3	5	1	5	2	5	3	5	1	2	5	1	5	5	3	1	2	3	5	3	5	5	3	5	1	1	1	1	4.5	6	3.5	4.5	2	2	3	3	2	2	3	4	36.2444444444444
150	19	2	4	4	3	3	5	5	4	4	4	4	3	5	3	5	5	5	4	5	4	5	4	2	3	4	4	4	5	3	3	4	4	4	4	4	5	5	3	4	4	5	5	5	4	5	5	3	1	5	1	5	5	1	5	5	5	2	5	4	5	5	5	5	1	5	5	5	5	1	5	3	5	5	3	4	2	1	5	5	5	5	1	5	1	1	1	1	6	12	6	10	6	15	6	12	20	20	20	20	40.6
151	21	2	3	2	3	2	3	3	4	4	3	4	4	4	3	5	4	5	5	4	4	4	4	4	3	4	4	5	5	5	5	5	5	4	3	4	5	4	5	4	4	4	5	3	3	3	4	2	1	2	2	2	3	4	4	3	4	1	4	3	3	4	3	3	1	4	3	4	2	4	4	2	3	2	4	3	3	2	4	2	4	3	4	4	1	1	1	1	2	3	1	1	1	1	2	2	1	1	1	1	34.4
152	19	1	4	3	4	3	3	5	5	4	4	5	4	5	4	4	5	4	4	3	4	4	4	3	3	3	4	5	5	5	4	5	5	5	4	5	5	5	3	5	3	5	4	5	5	5	5	3	1	5	1	4	3	3	5	5	5	1	5	4	5	5	5	5	1	4	4	4	4	1	5	4	5	5	4	4	2	1	5	5	5	5	3	5	1	1	1	1	3	3	3	3	5	5	3	3	3	3	3	3	36.6
153	34	1	4	2	3	3	5	4	4	4	5	5	5	5	3	4	5	5	4	2	4	3	5	5	3	4	3	5	4	5	5	5	5	5	4	4	5	4	5	5	1	5	4	2	4	2	4	3	4	4	1	1	4	3	5	2	5	1	5	4	4	4	4	5	2	4	2	5	3	2	5	2	5	4	3	5	2	3	5	2	5	2	3	2	1	1	1	1	3	3	5	5	2	2	3	3	5	5	5	5	35.6
154	37	1	4	3	2	2	3	3	4	4	3	4	3	3	2	5	5	5	5	4	4	4	5	4	4	4	4	5	5	4	5	5	5	2	4	4	5	5	3	3	2	5	5	5	4	3	3	3	5	5	4	1	1	4	4	4	3	3	4	3	4	3	4	4	4	5	5	5	5	3	5	3	5	5	1	1	4	2	3	5	2	3	5	4	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	32.4
155	23	2	4	4	4	4	5	5	4	5	5	2	5	5	4	3	3	4	4	4	4	4	5	3	2	3	3	3	5	4	5	4	3	3	4	2	4	4	3	4	3	5	5	4	5	5	5	2	1	4	1	2	3	2	5	4	5	1	5	4	4	5	2	5	1	4	2	5	4	2	4	2	4	4	2	3	2	3	5	3	5	4	2	4	1	1	1	1	3	3	4	10	7	7	7	10	4	2	2	10	35.8
156	19	2	5	3	2	3	4	3	4	4	2	2	5	5	4	4	3	5	3	3	4	4	4	3	4	4	4	4	4	5	5	5	4	3	4	2	4	4	5	3	4	5	5	5	4	3	5	2	1	1	1	3	2	1	5	5	3	1	5	5	2	4	2	3	2	5	4	5	3	1	2	4	5	3	3	2	2	1	5	2	5	3	3	3	1	1	1	1	4	6	6	8	3	3	5	6	3	4	4	6	35.6
157	21	2	3	4	4	3	4	3	3	4	5	3	4	4	5	4	3	3	4	3	4	4	3	2	4	3	4	4	4	3	2	4	4	4	4	3	4	4	2	3	4	5	5	5	3	5	3	4	5	5	3	2	4	4	5	5	5	2	4	3	5	5	5	5	4	5	5	4	5	4	5	4	5	5	4	5	5	5	4	5	5	5	3	5	2	2	1	1	3	6	3	3	3	3	3	3	5	4	5	4	34.4
158	19	2	5	4	4	4	4	4	5	4	5	4	5	5	4	4	4	3	4	4	4	5	3	3	4	3	4	4	5	5	4	4	5	5	4	4	4	4	4	4	3	5	5	4	4	5	4	3	1	5	2	3	4	1	5	4	4	1	5	4	4	4	4	3	2	3	4	4	4	2	4	2	3	4	3	4	3	1	4	4	4	4	4	4	1	1	1	1	2	6	2	8	5	3	2	6	5	2	7	4	37
159	27	1	4	4	5	4	5	4	4	5	5	3	5	5	4	3	5	4	4	4	5	4	4	4	4	5	4	4	4	5	4	5	4	5	5	3	5	5	2	5	3	5	5	2	5	3	NA	1	1	3	1	2	4	1	5	5	4	1	5	4	4	5	3	4	1	4	3	5	5	1	3	2	5	3	2	1	2	1	5	4	5	2	2	2	1	1	1	1	5.5	9	5.5	10	NA	NA	2.5	4.5	2.5	2.5	2.5	2.5	40.6
160	22	1	4	4	3	2	5	3	4	4	3	3	5	4	4	5	4	5	5	4	4	4	2	3	2	2	4	5	5	5	5	5	5	3	4	2	5	5	3	3	3	5	4	4	4	3	3	2	1	2	1	2	3	2	4	4	4	2	4	3	2	4	3	4	2	4	3	4	4	2	4	2	4	4	2	3	2	2	4	2	4	2	2	4	1	1	1	1	2	1	3	4	3	2	4	4	3	3	4	4	38.4
161	19	1	4	3	5	2	5	3	5	4	5	5	5	4	5	4	5	5	4	4	4	5	3	3	4	5	4	4	4	4	5	5	5	5	5	5	5	4	4	2	3	5	5	4	3	5	4	2	3	3	1	4	5	3	5	5	5	2	5	3	5	4	3	4	4	4	3	4	5	2	5	3	5	5	5	4	3	3	4	4	4	5	4	4	1	1	1	1	2	4	1	1	3	8	5	40	7	1	4.5	5	39.2
162	20	2	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	4	2	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	1	5	5	4	5	4	4	1	3	1	1	5	1	5	5	5	1	5	5	5	5	5	5	2	5	5	5	5	2	5	3	5	5	5	4	1	1	2	5	5	5	4	5	1	1	1	1	3	6	4	8	3	3	4	4	5	5	5	5	41.4
163	25	1	2	3	1	1	3	3	4	4	4	3	4	2	2	5	3	4	5	5	4	4	2	2	3	2	4	5	4	5	3	4	3	2	3	3	5	4	2	2	3	4	5	5	5	4	5	1	1	5	1	3	3	1	5	4	4	1	5	5	3	5	3	3	1	4	2	5	3	1	5	2	5	4	2	3	2	2	5	4	3	4	2	4	1	1	1	1	3	7	5	18	3	3	2	1.5	7	7	7	7	28
164	19	2	3	4	4	3	5	5	5	5	4	3	5	3	4	3	3	4	4	3	5	4	3	3	3	3	4	3	4	3	3	5	3	4	5	3	4	5	5	3	4	4	5	5	5	5	4	1	1	4	2	2	4	2	5	5	5	1	5	4	5	5	5	5	2	3	5	5	5	2	5	3	5	5	2	5	1	2	5	5	5	5	2	3	1	1	1	1	5	7	7	21	7	15	7	15	7	18	7	18	33.6
165	19	1	4	3	1	1	4	4	5	5	4	4	5	5	3	3	3	4	5	3	4	2	5	4	2	3	4	4	4	4	4	5	4	1	4	4	5	4	5	5	3	5	5	4	3	3	5	1	1	3	1	3	4	1	5	5	5	1	5	5	3	5	4	5	1	5	4	5	4	1	4	4	5	3	1	4	1	1	5	4	3	4	1	4	1	1	1	1	6	11	3	5	2	2	4	8	1	1	1	1	35
166	20	2	3	1	2	1	2	2	5	3	3	3	2	4	4	2	1	1	3	2	2	5	3	2	3	3	3	2	3	1	3	2	2	2	2	5	4	5	3	5	3	2	2	5	3	4	4	5	1	4	5	4	2	4	4	5	5	5	5	3	4	3	5	3	2	3	4	5	4	3	2	5	2	3	4	5	4	3	2	1	2	3	4	1	2	2	2	2	1	1.5	2	1.5	4	1	4	1	4	1	4	1	28
167	19	1	3	3	4	3	3	2	4	4	3	3	3	3	4	5	3	4	4	4	4	4	2	3	3	3	4	4	4	4	4	4	2	4	4	3	3	4	3	3	3	4	5	4	4	4	5	2	2	5	2	3	3	4	4	4	4	2	4	4	4	4	4	4	2	3	4	4	4	2	3	4	4	4	2	4	3	2	4	4	4	3	3	4	1	1	1	1	3	3	2	2	5	3	2	2	3	0.5	3	1	27.2
168	42	2	1	1	1	1	5	5	2	NA	3	4	NA	5	2	3	2	1	2	1	2	3	4	1	2	3	2	5	4	3	4	5	4	3	2	5	4	1	4	3	2	5	1	2	3	2	1	2	3	2	1	4	3	2	1	2	3	2	1	2	3	2	1	2	1	2	3	2	1	2	3	4	1	2	3	2	1	2	3	2	1	2	3	4	2	2	2	2	1	1	1	1	1	0.5	1	0.5	1	0.3	1	0.3	28
169	19	1	3	4	4	3	5	4	4	5	4	3	4	5	4	5	4	5	4	4	4	4	2	4	3	3	5	5	5	5	5	5	4	4	5	3	5	5	4	4	4	5	5	5	5	5	5	2	1	5	1	4	5	1	5	5	5	1	5	4	5	5	5	5	1	5	5	5	5	1	5	4	5	5	2	5	1	3	5	5	5	5	2	5	1	1	1	1	3	4.5	0	0	5	10	5	5	1.5	2	0	0	38.6
170	20	1	4	2	4	3	5	4	5	5	4	3	5	5	5	4	2	5	5	3	5	5	4	3	3	3	4	5	5	5	5	5	5	5	5	3	5	5	5	4	3	5	5	3	5	2	5	2	2	NA	1	3	4	4	5	4	4	1	5	3	3	5	3	4	1	2	2	5	3	1	4	2	5	2	2	3	1	1	5	3	4	2	4	4	1	1	1	1	3	3	1	1.5	2	2	1	1	5	5	5	5	38.2
171	21	2	3	4	4	2	3	4	4	4	4	4	3	3	3	4	3	4	4	4	4	4	3	2	3	5	4	5	4	5	2	2	3	4	3	4	4	3	3	3	3	4	5	5	5	5	4	1	3	5	1	2	4	2	5	5	1	2	5	4	5	5	3	2	3	4	2	5	5	2	5	2	5	5	4	2	2	3	5	5	4	5	4	5	1	1	1	1	5	2.5	5	7.5	1	1	1	1	0	0	0	0	30.8
172	22	2	4	4	5	1	5	2	5	5	4	4	2	5	5	5	3	5	5	4	5	5	2	4	4	5	5	5	5	5	5	5	3	5	5	3	5	5	5	5	5	5	5	5	3	2	2	2	2	4	1	2	1	1	5	5	5	1	5	4	4	4	5	5	3	4	5	5	4	4	5	2	4	5	4	4	5	1	5	5	1	5	5	5	1	1	1	1	3.5	5.5	4.5	4	2	2	3	3	0	0	3	11	39
173	21	2	3	4	3	3	5	4	4	5	3	2	5	5	3	5	4	5	4	3	4	3	2	3	3	3	4	5	3	5	3	4	3	4	4	2	4	4	4	4	3	4	4	4	3	4	4	4	1	3	2	2	3	3	5	4	4	1	5	4	4	4	4	4	2	4	4	4	4	3	4	4	4	4	4	4	3	2	4	3	5	3	3	4	1	1	1	1	4	5	7	10	7	10	14	20	20	30	30	40	33.2
174	21	2	3	3	2	3	5	NA	4	5	3	2	4	3	2	2	4	5	4	2	4	3	4	2	4	3	3	2	3	5	3	5	2	2	5	1	4	5	3	3	4	5	3	5	4	4	3	4	2	5	3	2	2	4	4	5	4	5	4	2	4	3	4	4	4	4	3	5	4	4	5	3	5	4	5	4	3	2	4	3	2	4	3	4	2	2	1	1	3	3	5	6	1	1	4	8	2	2	5	8	30.6
175	20	1	4	2	4	3	4	3	5	5	4	2	5	5	4	4	2	4	4	1	5	3	5	3	1	3	3	4	3	5	5	5	3	4	5	3	4	5	5	4	3	5	5	5	2	5	5	2	1	4	2	3	4	2	5	3	5	2	4	5	4	3	5	5	1	5	3	4	4	2	3	5	4	5	3	4	4	1	4	1	3	3	3	4	1	1	1	1	5	13	5	12	2	2	4	4	2	1	2	2	35
176	19	1	3	2	4	1	4	4	5	4	3	4	4	4	3	5	4	5	4	2	4	2	3	3	2	2	3	5	2	5	3	4	4	4	4	3	4	3	3	4	2	4	5	5	5	5	4	4	1	2	2	3	3	3	4	4	5	1	5	3	4	5	4	4	4	5	4	5	5	2	4	3	4	3	4	3	2	2	4	5	3	4	4	4	1	1	1	1	2	1	3	2	4	3	3	2	7	8	7	6	29.4
177	23	1	3	3	4	3	4	4	4	4	5	5	5	5	4	4	5	4	4	4	4	4	5	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	3	3	2	4	2	4	4	1	5	4	3	2	5	4	4	3	4	4	2	3	4	3	4	3	3	2	4	2	3	4	3	2	4	2	4	3	4	4	1	1	1	1	2.5	4	3.5	6	1	2	2	3	1	1	1	1	37.2
