ID.	Age	Sex	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	h1	h2	h3	h4	h5	h6	h7	h8	h9	h10	h11	h12	h13	h14	h15	h16	h17	h18	h19	h20	h21	h22	h23	h24	h25	h26	h27	h28	h29	h30	h31	h32	h33	h34	h35	h36	h37	h38	h39	h40	h41	h42	eA1	eA2	eA3	eA4	eBafallx	eBafallhrs	eBaspringx	eBaspringhrs	eBbfallx	eBbfallhrs	eBbspringx	eBbspringhrs	eBcfallx	eBcfallhrs	eBcspringx	eBcsrpinghrs	eqF
67	27	1	4	3	5	5	5	2	4	5	5	3	2	4	5	4	3	4	4	3	5	4	4	3	4	5	5	5	5	5	4	5	3	4	5	5	4	5	4	3	4	5	4	2	3	3	3	2	5	5	2	5	1	5	5	4	4	5	5	2	4	4	5	4	4	4	3	2	4	5	4	1	5	5	5	4	4	3	2	3	1	3	4	3	1	1	1	1	0	0	1	1	2	2	4	4	3	3	5	4	35
68	20	2	4	4	4	3	3	4	4	5	4	3	3	4	3	1	5	5	2	2	4	4	3	3	2	3	5	2	4	4	4	5	4	4	4	2	3	5	4	4	2	5	4	5	2	3	4	2	1	4	4	3	1	4	3	5	5	4	4	3	4	5	2	4	5	4	3	4	5	2	2	2	4	3	3	3	4	3	2	2	3	4	2	4	2	2	1	1	3	2	4	2	5	2	7	5	5	2	6	3	34
69	22	2	3	3	4	1	4	4	3	4	5	1	5	3	4	2	3	4	3	2	4	4	5	3	3	3	3	1	4	5	2	5	5	4	5	1	4	5	2	5	3	5	4	5	2	4	3	5	4	5	2	3	3	3	4	4	4	3	4	3	5	5	3	4	4	4	3	2	5	3	4	3	4	5	4	4	4	3	2	2	2	3	4	5	1	1	1	1	1	1	3	3	1	1	1	1	3	3	2	2	29.6
70	23	1	4	2	4	2	5	2	4	4	5	4	5	5	4	5	3	4	5	4	5	4	3	2	3	5	4	5	4	5	5	5	NA	4	5	3	5	4	3	5	4	5	5	5	5	5	5	2	1	2	1	1	5	2	5	5	5	1	5	5	3	5	4	1	1	5	3	5	5	1	5	3	5	5	1	4	1	1	5	5	5	1	2	5	1	1	1	1	6	6	4	4	NA	NA	NA	NA	NA	NA	NA	NA	35
71	22	2	2	4	3	3	1	3	4	3	3	4	2	4	4	4	2	4	3	4	2	4	4	2	4	3	3	4	4	4	2	2	3	4	1	3	3	2	4	3	3	2	5	5	4	4	4	2	1	2	2	3	3	3	4	4	4	2	4	4	4	4	4	4	2	4	4	4	4	2	3	4	4	4	3	3	2	2	4	4	4	4	3	3	1	1	1	1	3	3	3	3	5	5	5	5	5	5	5	5	30.2
72	24	2	4	2	3	4	4	5	4	4	3	3	5	4	4	5	3	2	4	4	4	5	4	3	3	4	4	5	5	5	3	4	4	2	5	2	4	4	4	4	5	4	4	4	3	4	3	4	2	3	4	2	3	2	4	4	4	3	4	3	4	3	4	4	4	3	3	4	4	5	2	3	4	2	4	3	4	2	3	4	2	2	2	4	1	2	2	2	0	0	0	0	0	0	2	2	5	5	5	5	33.2
73	23	1	4	2	3	2	3	4	3	4	4	4	5	5	3	5	3	4	5	4	4	4	3	3	3	3	4	5	5	5	3	5	5	3	3	2	5	4	4	3	3	5	3	4	4	4	3	4	3	4	3	4	3	2	4	4	4	2	4	1	4	4	4	4	4	4	4	3	4	4	4	4	4	4	5	4	4	2	3	3	3	3	5	3	1	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.8
74	23	2	4	3	3	3	4	4	4	4	3	1	4	4	2	4	3	4	4	4	4	4	4	2	2	3	4	4	5	5	5	5	5	5	4	2	4	4	4	4	3	5	5	1	4	2	5	3	1	2	2	2	4	1	5	4	3	2	5	4	2	4	2	4	1	4	2	4	2	2	4	2	5	2	4	2	3	2	4	2	4	2	4	3	1	1	1	1	4	8	3	5	1	3	1	3	7	6	7	12	37.2
75	27	1	4	2	4	3	5	5	5	5	5	2	5	4	3	4	3	4	5	3	5	5	2	3	4	3	4	5	5	5	3	5	1	4	5	3	5	5	3	4	4	5	5	5	3	5	5	4	1	5	1	1	2	2	5	5	5	3	5	4	5	5	5	5	2	5	5	5	5	3	2	5	5	5	4	5	3	1	4	5	2	5	3	5	1	1	1	1	3	1.5	4	2	3	1	3	1	0	0	1	2	36.4
76	21	1	5	4	4	3	4	3	5	5	5	3	3	3	4	5	3	5	4	4	5	4	2	2	4	4	5	5	4	5	4	5	4	4	5	3	4	5	4	3	4	5	5	5	5	5	5	1	1	4	1	2	5	4	5	5	5	1	5	4	3	4	5	5	2	5	5	5	5	2	5	3	5	5	4	5	4	3	5	4	5	5	5	5	1	1	1	1	0	0	3	1.5	3	5	2	4	10	4	10	4	37.2
